date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:19	7541/7541	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202013%2002:18:33%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html	(from )
15:22:22	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:22:44%20GMT	http://demos.jquerymobile.com/robots.txt		(from )
15:22:27	24590/24590	---M--	200	added ('OK')	text/css	etag:%2252b25778-600e%22	http://demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm-demos.css	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm-demos.css	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html)
15:22:30	54735/54735	---M--	200	added ('OK')	application/x-javascript	etag:%2252b25778-d5cf%22	http://demos.jquerymobile.com/1.3.0/docs/_assets/js/jquery.mobile.demos.js	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/_assets/js/jquery.mobile.demos.js	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html)
15:22:31	136008/136008	---M--	200	added ('OK')	text/css	etag:%2252b25778-21348%22	http://demos.jquerymobile.com/1.3.0/css/themes/default/jquery.mobile-1.3.0.css	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/css/themes/default/jquery.mobile-1.3.0.css	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html)
15:22:31	93868/93868	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2015%20Jan%202014%2017:26:58%20GMT	http://code.jquery.com/jquery-1.7.1.min.js	C:/Users/lenovi/Desktop/encabezado/code.jquery.com/jquery-1.7.1.min.js	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html)
15:22:33	1988/1988	---M--	200	added ('OK')	image/png	etag:%2252b25778-7c4%22	http://demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-18-white.png	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-18-white.png	(from http://demos.jquerymobile.com/1.3.0/css/themes/default/jquery.mobile-1.3.0.css)
15:22:33	40304/40304	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202013%2002:18:33%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html)
15:22:33	1968/1968	---M--	200	added ('OK')	image/png	etag:%2252b25778-7b0%22	http://demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-18-black.png	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-18-black.png	(from http://demos.jquerymobile.com/1.3.0/css/themes/default/jquery.mobile-1.3.0.css)
15:22:37	3861/3861	---M--	200	added ('OK')	image/png	etag:%2252b25778-f15%22	http://demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-36-white.png	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-36-white.png	(from http://demos.jquerymobile.com/1.3.0/css/themes/default/jquery.mobile-1.3.0.css)
15:22:37	3859/3859	---M--	200	added ('OK')	image/png	etag:%2252b25778-f13%22	http://demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-36-black.png	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/css/themes/default/images/icons-36-black.png	(from http://demos.jquerymobile.com/1.3.0/css/themes/default/jquery.mobile-1.3.0.css)
15:22:47	7825/7825	---M--	200	added ('OK')	image/gif	etag:%2252b25778-1e91%22	http://demos.jquerymobile.com/1.3.0/css/themes/default/images/ajax-loader.gif	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/css/themes/default/images/ajax-loader.gif	(from http://demos.jquerymobile.com/1.3.0/css/themes/default/jquery.mobile-1.3.0.css)
15:22:48	1108/1108	---M--	200	added ('OK')	image/png	etag:%2252b25778-454%22	http://demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm_demo-icons-sd.png	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm_demo-icons-sd.png	(from http://demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm-demos.css)
15:22:48	1935/1935	---M--	200	added ('OK')	image/png	etag:%2252b25778-78f%22	http://demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm_demo-icons-hd.png	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm_demo-icons-hd.png	(from http://demos.jquerymobile.com/1.3.0/docs/_assets/css/jqm-demos.css)
15:22:53	40304/40304	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202013%2002:18:33%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/index.html	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/index-2.html	(from http://demos.jquerymobile.com/1.3.0/docs/_assets/js/jquery.mobile.demos.js)
15:22:59	355848/355848	---M--	200	added ('OK')	application/x-javascript	etag:%2252b25779-56e08%22	http://demos.jquerymobile.com/1.3.0/js/jquery.mobile-1.3.0.js	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/js/jquery.mobile-1.3.0.js	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/panel-fixed.html)
15:23:00	12351/12351	---M--	200	added ('OK')	image/png	etag:%2252b25778-303f%22	http://demos.jquerymobile.com/1.3.0/docs/_assets/img/jquery-logo.png	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/_assets/img/jquery-logo.png	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:01	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:23%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/headers/bars-fixed.html	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/headers/bars-fixed.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:01	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:23%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/accordions/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/accordions/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:01	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:23%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/sliders/switch.html	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/sliders/switch.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:02	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:23%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/navigation/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/navigation/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:02	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:24%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/autocomplete/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/autocomplete/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:02	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:24%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/buttons/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/buttons/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:02	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:24%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/navbar/footer-persist-a.html	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/navbar/footer-persist-a.12.delayed	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:02	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:24%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/checkbox/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/checkbox/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:02	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:24%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/sliders/rangeslider.html	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/sliders/rangeslider.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:03	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:24%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/collapsibles/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/collapsibles/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:03	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:25%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/examples/collapsibles/dynamic-collapsible.html	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/examples/collapsibles/dynamic-collapsible.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:03	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:25%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/controlgroups/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/controlgroups/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
15:23:03	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202014%2020:23:25%20GMT	http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/dialog/	C:/Users/lenovi/Desktop/encabezado/demos.jquerymobile.com/1.3.0/docs/widgets/panels/widgets/dialog/index.html	(from http://demos.jquerymobile.com/1.3.0/docs/widgets/panels/)
